"lat","lon","CellNumber"
-50.2066463469999,-29.481593963,358848822
-50.206827544,-29.4847024069999,358870414
-50.210193459,-29.4830942689999,358848820
-52.571874637,-30.5651614999999,370032347
-52.566024102,-30.565477916,370032350
-52.55896432,-30.5667655739999,370032353
-55.515752291,-30.7120182039999,371542379
-55.5227527069999,-30.714957516,371563968
-55.52022285,-30.719534188,371607153
-50.0673744969999,-29.168927547,355610089
-50.0510551629999,-29.178377279,355718056
-50.051527643,-29.1751730789999,355674872
-55.132497977,-29.6306908619999,360379499
-55.1417175409999,-29.63179249,360379494
-55.137245553,-29.6317008419999,360379496
-53.612784153,-32.0834019819999,385707641
-53.611698802,-32.096195984,385837194
-53.621042181,-32.088714651,385750821
-53.038187748,-30.9362483209999,373853908
-53.037960841,-30.931545851,373810724
-53.017487536,-30.942188281,373918694
-50.398300247,-29.0088780519999,353947346
-50.394270118,-29.0083418739999,353947348
-50.396766779,-29.022804873,354098491
-55.415301175,-28.540601032,349129931
-55.418914999,-28.53987982,349108338
-55.4252132889999,-28.54572215,349173111
-53.6613775549999,-31.5053886229999,379726634
-53.658190814,-31.514221165,379813004
-53.6653284389999,-31.516886491,379856184
-54.378778101,-30.9643367369999,374155555
-54.3837610859999,-30.961443602,374112369
-54.375641178,-30.947672597,373982820
-53.61919578,-28.90984556,352930982
-53.601469467,-28.907720302,352909399
-53.617279025,-28.908292538,352909391
-53.821522573,-29.316035831,357119733
-53.8197784719999,-29.325055106,357227694
-53.812030732,-29.325719304,357227698
-54.169222367,-31.796549829,382727679
-54.173756467,-31.79970472,382770861
-54.178289982,-31.790129193,382662899
-54.029030585,-31.7708198889999,382468642
-54.027161161,-31.7691645739999,382447051
-54.033286092,-31.7665874309999,382425456
-50.5956279979999,-30.0505095789999,364721660
-50.592379068,-30.060330915,364808030
-50.582003927,-30.070482587,364915995
-50.428567973,-30.4945496139999,369299244
-50.4208426389999,-30.501183972,369364024
-50.4168416809999,-30.4943033559999,369299249
-52.196580243,-30.160968343,365843678
-52.19256928,-30.160239388,365843680
-52.194836747,-30.157925168,365822087
-52.766850958,-30.3027561179999,367311662
-52.772384614,-30.2973666349999,367268475
-52.758150465,-30.294531459,367225298
-56.024088832,-29.776021111,361868920
-56.0042600419999,-29.781863761,361933706
-56.0137460409999,-29.780427914,361912109
-55.9877564609999,-30.055949579,364762266
-55.990919419,-30.0627702099999,364827040
-55.9834905979999,-30.062571055,364827044
-51.015380218,-28.199918065,345612539
-51.0215640929999,-28.194452118,345547760
-51.020263433,-28.192462533,345526169
-50.7666224509999,-29.189715808,355825674
-50.774044503,-29.193512402,355868855
-50.773810179,-29.2001038939999,355933631
-49.823805367,-28.60984407,349845141
-49.824981989,-28.6089782889999,349823548
-49.8266291269999,-28.611956356,349866732
-53.5807523989999,-31.297115069,377589065
-53.5777405169999,-31.2986833699999,377589066
-53.5713271399999,-31.298904777,377610661
-53.532190413,-31.590906145,380611968
-53.5318123819999,-31.5841515499999,380547192
-53.532503295,-31.59360212,380633560
-56.2871436459999,-29.248735806,356427610
-56.289702265,-29.2448262849999,356384425
-56.288099035,-29.239649474,356341242
-55.6350930679999,-28.847471856,352282258
-55.630478254,-28.843415603,352239076
-55.629396491,-28.8469049629999,352282261
-52.3909076159999,-32.071604927,385578674
-52.3935148099999,-32.07367693,385600264
-52.387663383,-32.068980478,385557083
-52.6035962669999,-32.713484044,392207316
-52.605293413,-32.7111527129999,392185723
-52.6083115489999,-32.71896859,392272090
-53.37062933,-32.379469958,388752229
-53.3768866349999,-32.3785962759999,388752226
-53.365979752,-32.369656667,388665863
-53.2297034219999,-32.257554405,387499960
-53.230212685,-32.255044051,387478368
-53.230739571,-32.2521078839999,387435184
-54.115654509,-30.2478392479999,366749625
-54.1156434769999,-30.25298456,366792809
-54.110772058,-30.2504368809999,366771219
-54.6123371799999,-30.140600681,365648195
-54.6229567239999,-30.149372845,365734558
-54.6233058289999,-30.152089244,365756150
-55.3891609949999,-29.660318064,360681664
-55.3927278209999,-29.6589085169999,360660070
-55.391139972,-29.662206254,360703255
-55.325285432,-29.791192752,362041990
-55.319295821,-29.7959478829999,362085177
-55.321193099,-29.8020294519999,362149952
-53.4670526579999,-30.283666102,367116999
-53.4544938929999,-30.287212042,367160189
-53.464418538,-30.29179433,367203368
-54.11836005,-29.028863964,354161488
-54.123689042,-29.026192336,354139893
-54.129788402,-29.0277134519999,354139890
-52.459212119,-28.8724365379999,352542881
-52.4697383439999,-28.8743569129999,352564468
-52.4551641749999,-28.866089003,352478107
-53.398611112,-23.871388888,300915960
-53.4452777779999,-23.7644444429999,299814745
-53.713888889,-23.786666666,300030537
-53.8716666669999,-23.861388889,300807773
-53.574722223,-23.915555555,301369307
-53.468611111,-23.864166666,300829558
-53.483333333,-20.740277777,268592695
-53.477222222,-23.794444444,300117018
-53.6249999999999,-23.724444444,299404411
-53.6247222229999,-23.723055555,299382820
-53.6894444449999,-23.659444444,298735029
-53.717222222,-23.5808333329999,297914519
-53.483333333,-23.74,299555623
-53.706111111,-23.561666666,297720197
-53.702119447,-23.5624914709999,297720199
-53.665833333,-23.3799999999999,295841712
-53.271944444,-20.438333332,265461956
-53.4481172819999,-20.4640350249999,265742568
-53.995908309,-20.439250423,265483202
-53.4258399299999,-25.123396552,313849555
-53.5702777779999,-23.670277777,298843046
-53.63515247,-28.9198244729999,353038935
-53.6886111109999,-29.3980555549999,357983477
-53.4025,-23.747222221,299642030
-53.404043453,-23.736635625,299512477
-49.546111111,-16.7002777769999,226878834
-42.461111111,-16.7024999989999,226903814
-48.0074999999999,-19.6427777769999,257259514
-48.143888889,-19.222222221,252919456
-48.314584596,-18.9847083889999,250457887
-48.312868388,-19.0176313389999,250803360
-48.3069444449999,-19.0883333319999,251537490
-48.4093183259999,-19.3189981849999,253912561
-48.450833334,-19.420833333,254970550
-48.4488888889999,-19.4613888879999,255380799
-48.3264425359999,-19.5030511579999,255812697
-48.266666667,-19.5213888879999,256007054
-48.299166667,-19.6291666659999,257108230
-48.292652483,-19.6891734619999,257734401
-48.5525,-20.72111111,268379133
-49.398611111,-6.67611111099995,123388448
-48.4668310399999,-6.91281463299993,125828790
-48.4372222219999,-7.19222222199994,128700540
-48.6291666669999,-7.14611111099993,128225424
-48.6311989079999,-7.14319869599996,128203831
-48.780555555,-7.12305555499995,127987840
-49.0111111109999,-6.97777777699997,126497882
-49.422222222,-6.80861111099995,124748733
-49.422222222,-6.80861111099995,124748733
-50.0825,-8.02333333299993,137293369
-50.239201958,-8.10115249899997,138092198
-50.336797308,-8.26942877899995,139819512
-49.2552777779999,-6.87416666599995,125418165
-49.5641666669999,-6.81583333299994,124813441
-51.1300126589999,-9.96737837699993,157351836
-51.123859744,-9.96488939199998,157330247
-51.1291666659999,-9.96499999999997,157330245
-51.12850843,-9.95975752099997,157287061
-51.771111111,-12.4961111109999,183477850
-51.084083495,-9.88981670699997,156552954
-51.283055556,-10.35361111,161346283
-51.4701017519999,-10.5194581829999,163051962
-51.609722222,-10.721111111,165146319
-51.672777778,-11.3141666659999,171256825
-51.6963738269999,-11.53849173,173588750
-51.026666666,-9.77861111099998,155408606
-51.084219837,-9.88799344099994,156531362
-51.5658333329999,-6.91749999999996,125870492
-50.021388889,-7.26749999999993,129477095
-55.351692122,-10.8129604979999,166094578
-55.350277778,-10.8124999999999,166072986
-55.460277778,-10.733055556,165252438
-55.715932068,-10.544085959,163309036
-55.7736078729999,-10.335687035,161149808
-55.8188888889999,-10.1441666659999,159184914
-55.800277778,-9.97861111099996,157479155
-56.0074999999999,-9.91583333299997,156831296
-57.5483269229999,-11.301584154,171124463
-57.9892302969999,-11.6040641009999,174255093
-58.324818433,-11.588939742,174103788
-58.580914811,-11.4812512679999,172980882
-58.81254942,-11.4579218559999,172743259
-59.811245952,-12.293395505,181379581
-60.93656642,-11.9961731349999,178291387
-61.6012527569999,-11.4365497859999,172526005
-61.7202974429999,-11.382361219,171964556
-61.902767346,-11.280977874,170906461
-61.9282508649999,-11.017133143,168185857
-62.035903844,-10.793570191,165875462
-62.1848938319999,-10.739512164,165335590
-62.2265166999999,-10.6939586,164860546
-62.2132626969999,-10.3386867159999,161189913
-62.280035665,-10.35167096,161319433
-62.3523738379999,-10.422323117,162053526
-62.4539851009999,-10.344208653,161254574
-62.3320600019999,-10.177443379,159527272
-62.4304571819999,-9.96504786199995,157324841
-62.480115336,-9.81939333799994,155834969
-62.4865037449999,-9.82020113499993,155834966
-62.650232629,-9.87345113799995,156374688
-63.066458658,-9.83463826099995,155985833
-63.942984575,-8.86302964099997,145945134
-63.95185309,-8.87904797499993,146117865
-64.6919826869999,-9.41023459799993,151601880
-65.597621271,-9.64570811099998,154041342
-65.812098297,-9.66616783599994,154235568
-66.009798555,-9.69671383899993,154559353
-66.396055326,-9.77682749099995,155379665
-66.698326912,-9.75266528999998,155142008
-66.823724549,-9.78065237399994,155422644
-66.9456722799999,-9.90026834299994,156653330
-67.013227893,-9.98434814999996,157516978
-67.118748291,-10.1211237169999,158941999
-67.157246684,-10.28208024,160604565
-67.289280457,-10.302201134,160798830
-67.317874306,-10.3027139129999,160820408
-67.430079822,-10.3318812909999,161122642
-67.506367306,-10.330536481,161101014
-67.619430531,-10.2992829249999,160777080
-57.5480887529999,-11.30173518,171124464
-57.9881496689999,-11.6071187489999,174276685
